"","iliad.txt","odyssey.txt"
"forgiv",9,2
"forgot",9,1
"forgotten",6,3
"fork",1,0
"forki",6,0
"forlorn",1,0
"form",112,22
"formal",3,2
"format",8,6
"formd",15,0
"former",28,1
"formid",7,0
"forsak",14,0
"forsook",8,0
"forsworn",1,0
"fort",3,1
"forth",93,19
"forthspring",1,0
"forthwith",2,6
"forti",8,2
"fortieth",1,0
"fortif",4,0
"fortifi",2,0
"fortitud",1,0
"fortun",25,8
"forum",1,0
"forward",13,18
"forwarnd",1,0
"foss",2,0
"foster",1,0
"fought",23,6
"foul",3,4
"found",95,71
"foundat",37,25
"fount",5,0
"fountain",15,12
"four",12,22
"fourfold",3,0
"fourscor",1,0
"fourteenth",2,0
"fourth",12,6
"fowl",5,0
"fragment",15,0
"fragranc",4,1
"fragrant",6,7
"frail",1,0
"frailti",2,0
"frame",27,2
"framework",1,0
"franc",1,0
"frank",2,0
"frantic",18,0
"fraud",10,3
"fraudul",1,0
"fraught",1,0
"fray",8,4
"freak",1,0
"free",26,21
"freed",5,1
"freedom",3,0
"freeli",6,6
"freeman",1,0
"freez",3,1
"freight",1,5
"french",2,0
"frenzi",3,1
"frequent",13,2
"fresh",21,8
"freshbleed",1,0
"freshslaught",1,0
"fret",1,2
"fri",3,0
"friend",234,103
"friendship",27,3
"friez",1,0
"fright",17,3
"frigid",2,0
"fring",2,0
"fro",2,0
"frog",2,0
"front",29,30
"frontier",2,0
"frost",2,1
"froward",1,0
"frown",7,3
"frownd",2,0
"frozen",2,0
"frugal",1,1
"fruit",29,8
"fruitless",3,4
"frustrat",4,1
"fsa",1,0
"fuel",1,2
"fugg",1,0
"fugit",2,0
"ful",2,0
"fulfil",13,5
"fulfilld",3,0
"fulgid",1,0
"full",131,86
"fullblown",1,0
"fulldescend",1,0
"fullest",1,0
"fulli",3,5
"fume",3,0
"function",2,0
"fund",1,0
"fundament",1,0
"funer",43,7
"fur",2,1
"furi",141,10
"furioso",3,0
"furious",63,14
"furld",1,0
"furnac",4,0
"furnish",7,2
"furri",1,0
"furrow",6,2
"furrowd",3,0
"further",1,3
"furygoddess",1,0
"fus",1,0
"fustian",2,0
"futur",35,8
"gabriel",1,0
"gain",46,5
"gaind",4,0
"gainst",1,0
"gait",1,0
"galatea",1,0
"gale",12,9
"galen",1,0
"gall",6,0
"gallant",11,0
"galld",2,0
"galley",6,0
"gambol",1,1
"game",19,3
"ganym",2,0
"ganymed",1,0
"gap",2,0
"gape",9,0
"gar",2,0
"garden",4,9
"garland",2,0
"garlic",1,0
"garment",9,3
"garth",1,0
"gashd",5,0
"gasp",14,3
"gate",82,21
"gather",26,34
"gatherd",9,0
"gaudi",1,0
"gaunt",1,0
"gauntlet",2,0
"gauntletfight",1,0
"gave",98,104
"gavest",1,0
"gavst",2,0
"gay",13,0
"gaze",30,1
"gbnewbypglaforg",1,1
"gees",1,5
"gellius",1,0
"gelo",1,0
"gem",7,0
"gen",1,0
"genealog",2,0
"general",77,14
"generat",4,6
"generos",1,0
"generous",101,0
"genesi",1,1
"genial",15,0
"genius",14,0
"genrous",1,0
"gent",1,0
"gentil",1,0
"gentl",34,4
"gentleman",2,0
"gentlemen",1,0
"gentler",1,0
"gentlest",1,0
"genuin",4,2
"genus",1,0
"geograph",2,0
"georg",2,0
"georgic",1,0
"gerenian",4,0
"gerichtsr",1,0
"germ",4,0
"german",3,0
"germana",1,0
"geronta",1,0
"gestur",1,0
"get",1,198
"ghast",11,0
"ghost",25,48
"giant",8,3
"giantcors",1,0
"giantprid",1,0
"giantwarrior",1,0
"giddi",4,0
"gier",8,0
"gierusalemm",1,0
"gift",78,11
"gigant",7,0
"gild",14,6
"giovinezza",1,0
"gird",4,10
"girdl",2,5
"girl",4,19
"girt",2,0
"giung",1,0
"give",139,179
"given",73,72
"givest",1,0
"glad",20,35
"gladden",2,0
"gladdend",1,0
"glade",1,0
"gladsom",1,0
"glanc",11,1
"glaphyra",1,0
"glare",14,6
"glass",2,0
"glassi",1,0
"glauc",1,0
"glaucus",27,0
"gleam",9,5
"gleamd",2,0
"gleami",2,0
"glean",1,0
"glebe",1,0
"glee",1,0
"glide",19,1
"glimmer",4,0
"glissa",1,0
"glitter",38,3
"glitterd",10,0
"globe",7,0
"gloom",7,2
"gloomi",40,1
"glori",159,5
"glorious",82,0
"glossi",2,0
"glove",1,0
"glow",45,1
"glowd",7,0
"glowst",1,0
"glut",12,0
"glutton",1,2
"gnash",2,1
"gnashd",1,0
"gnaw",1,1
"gnomol",1,0
"gnomologia",2,0
"gnossus",2,0
"goad",1,0
"goal",13,1
"goat",12,43
"goatherd",1,5
"goatsmilk",1,0
"goblet",21,4
"god",626,267
"godbuilt",1,0
"goddescend",1,0
"goddess",112,60
"goddessborn",3,0
"goddessmoth",5,0
"godhead",10,0
"godless",1,0
"godlik",76,1
"godsperhap",1,0
"goe",14,18
"gofrom",1,0
"gold",80,52
"golden",97,29
"gone",13,77
"gonoessa",1,0
"good",42,228
"goodliest",1,1
"goodnatur",1,0
"gordius",1,0
"gore",89,2
"gorg",1,1
"gorgeous",1,1
"gorget",1,0
"gorgon",5,1
"gorgythio",1,0
"gori",4,0
"gortyna",1,0
"got",4,179
"gotten",1,0
"govern",4,3
"gowhi",1,0
"gown",1,0
"grace",127,11
"gracious",5,0
"gradual",5,0
"graea",1,0
"graecia",3,0
"graecism",1,0
"grain",12,2
"grammarian",5,0
"grammaticus",1,0
"grand",7,1
"grandeur",2,0
"grandsir",4,0
"grandson",1,3
"granicus",2,0
"grant",28,27
"grapherthai",1,0
"graphic",1,0
"grappl",1,0
"grasp",16,5
"graspd",7,0
"grass",2,6
"grasshopp",1,0
"grassi",4,2
"grate",23,1
"gratifi",3,0
"gratitud",3,1
"grave",20,3
"graviti",2,0
"gray",1,0
"graze",5,3
"great",486,200
"greater",27,4
"greatest",25,2
"greav",4,0
"grece",1,0
"grecian",214,0
"greec",235,0
"greecemur",1,0
"greedi",2,0
"greek",309,86
"greeksand",1,0
"green",17,8
"greet",11,4
"gregori",1,1
"grew",17,13
"grey",6,10
"grief",81,14
"griev",18,27
"grievanc",1,1
"grievst",1,0
"grim",22,1
"grin",3,0
"grind",7,5
"grinnd",2,0
"gripe",2,0
"grisli",6,0
"groan",69,19
"groand",4,0
"groaningto",1,0
"groin",2,0
"gross",5,2
"grosser",1,0
"grote",18,0
"grotto",1,0
"ground",197,79
"groundless",1,0
"groundwork",1,0
"group",2,4
"grove",16,8
"grovel",5,0
"grovelld",1,0
"grow",32,27
"grown",7,13
"grudg",5,4
"guard",82,6
"guardian",29,3
"guardiangod",1,0
"guardianship",1,0
"guardless",3,0
"guardst",1,0
"guerrieri",1,0
"guess",2,1
"guest",12,42
"guid",46,7
"guidanc",4,0
"guideless",2,0
"guil",1,4
"guilt",2,2
"guilti",14,1
"guiltless",11,3
"gulf",5,1
"gulfi",2,0
"guneus",1,0
"gush",11,2
"gushd",3,0
"gust",4,1
"gutenberg",31,30
"gutenbergtrad",57,0
"gyga",1,0
"gyge",1,0
"gyrton",1,0
"habit",6,3
"habitationsanthon",1,0
"habitu",1,0
"hackd",1,0
"hade",1,30
"hadst",6,0
"haelio",1,0
"haemon",1,0
"haggard",2,0
"hail",16,3
"haild",2,0
"hair",40,15
"hairi",1,0
"half",43,22
"halfbroth",1,0
"halfburnd",1,0
"halfforc",1,0
"halfkindr",1,0
"halfopend",1,0
"halfpenni",1,0
"halfpersuad",1,0
"halfrecoverd",1,0
"halftilld",1,0
"haliartus",1,0
"halic",1,0
"halicarnassus",2,0
"halifax",1,0
"halius",1,1
"halizonian",3,0
"hall",13,2
"hallam",1,0
"halt",3,1
"halv",1,1
"hamelei",1,0
"hamlet",1,0
"hammer",1,1
"hamopaon",1,0
"hand",395,258
"handl",6,13
"handmaid",7,5
"handsom",1,7
"hang",22,17
"hanger",1,0
"hangeth",1,0
"hanov",1,0
"hapless",13,2
"happen",5,43
"happi",26,18
"happier",8,1
"happiest",1,0
"har",3,1
"harangu",1,0
"harass",1,3
"harbour",1,32
"harbourd",1,0
"harcourt",1,0
"hard",28,63
"harden",1,0
"hardend",1,0
"hardgot",1,0
"hardi",17,0
"hardouin",1,0
"hardship",1,12
"hare",2,1
"harefoot",1,0
"hark",2,0
"harm",6,21
"harma",1,0
"harmless",5,1
"harmon",1,0
"harmoni",8,0
"harnessd",2,0
"harold",1,0
"harp",4,0
"harpalion",1,0
"harpi",2,0
"hart",3,2
"harvest",19,1
"hast",105,8
"hasten",9,2
"hastend",2,0
"hastenight",1,0
"hasti",14,0
"hastili",1,1
"hate",47,17
"hath",5,3
"hatr",1,1
"haughti",34,0
"haughtiest",1,0
"haul",1,0
"haunch",1,0
"haunt",1,4
"havoc",1,4
"hazard",6,2
"head",187,104
"headless",2,0
"headlong",36,1
"headstal",1,0
"headstrong",3,0
"heal",9,2
"heald",2,0
"health",2,1
"healthi",2,0
"heap",91,12
"heapd",15,0
"heapi",5,0
"hear",142,70
"heard",78,101
"heardbut",1,0
"hearer",5,4
"hearst",1,0
"heart",176,100
"hearten",2,0
"heartend",1,0
"heartfelt",1,0
"hearti",2,2
"heartless",5,0
"heartpierc",2,0
"heartsuch",1,0
"heat",15,8
"heathen",1,0
"heav",46,4
"heaven",390,177
"heavenbr",2,0
"heavendefend",4,0
"heavenlyborn",1,0
"heavenprotect",1,0
"heavenward",1,0
"heavi",24,18
"heavier",3,3
"heaviest",1,0
"heavn",10,0
"hebe",4,1
"hebegrot",1,0
"hebrus",1,0
"hecamed",2,0
"hecatomb",15,16
"hector",459,2
"hectorean",2,0
"hecuba",9,0
"heed",6,16
"heedless",1,1
"heel",7,2
"heeren",6,0
"heifer",10,19
"height",36,2
"heighten",1,0
"heir",15,3
"heird",2,0
"hekaebolo",1,0
"held",60,39
"helen",52,26
"helena",1,0
"helenus",9,0
"heleon",1,0
"helic",4,0
"helicon",1,0
"hell",37,2
"hella",2,5
"hellenesa",1,0
"hellenian",1,0
"hellespont",9,1
"hellespontus",1,0
"helm",35,2
"helmet",44,13
"helo",1,0
"help",20,55
"helpd",3,0
"helpless",15,0
"hemistitch",1,0
"hemmd",1,0
"hemus",1,0
"henc",45,10
"henceforth",4,3
"henetia",1,0
"heracl",1,0
"heraclid",3,0
"herald",45,5
"herb",3,7
"herbag",2,2
"hercul",16,8
"herculean",1,0
"hercynia",1,0
"herd",19,11
"herdsman",2,2
"herdsmen",2,3
"hereaft",5,6
"hereditari",3,1
"herilus",1,0
"herm",20,2
"hermaean",1,0
"hermoin",1,0
"hermus",1,0
"hero",327,23
"herod",1,1
"herodot",2,0
"herodotean",1,0
"herodotus",5,0
"heroic",13,0
"heroica",1,0
"heroin",1,0
"heron",1,0
"hesiod",6,1
"hesioda",1,0
"hesit",2,0
"hesper",2,0
"hestiomenoi",1,0
"hesychius",1,0
"hew",1,0
"hewd",3,0
"hewhat",1,0
"hewn",1,1
"hexamet",1,0
"hicetaon",3,0
"hid",3,8
"hidden",2,13
"hide",32,31
"hideous",2,2
"hie",1,2
"hierarchi",1,0
"hieroglyph",1,0
"high",221,38
"highbound",4,0
"highemin",1,0
"higher",8,2
"highest",9,6
"highf",1,0
"highhung",1,0
"highlift",2,0
"highres",1,0
"highthron",3,0
"hightow",3,0
"highway",1,0
"highwrought",1,0
"hill",55,4
"hilt",1,1
"himselflectur",1,0
"hind",8,2
"hindmost",3,0
"hing",7,0
"hint",2,2
"hip",3,1
"hippasian",1,0
"hippasus",2,0
"hippocoon",1,0
"hippodam",2,0
"hippodama",1,0
"hippodamia",1,1
"hippodamus",1,0
"hippolochus",1,0
"hippomachus",1,0
"hippomedon",1,0
"hippomolgian",2,0
"hippon",1,0
"hippoplacia",2,0
"hippoplacus",1,0
"hippot",2,0
"hippoth",5,0
"hira",2,0
"hiss",16,3
"hissd",6,0
"hist",2,0
"histor",11,0
"histori",21,2
"historian",1,0
"hither",7,13
"hitherto",3,3
"hive",2,1
"hoar",1,1
"hoari",34,0
"hoars",1,0
"hoarseresound",3,0
"hobb",2,1
"hodius",1,0
"hoid",1,0
"hoist",6,3
"hold",29,90
"holder",4,4
"holi",18,4
"hollow",29,2
"hom",5,0
"homag",1,0
"home",13,241
"homeopath",1,0
"homer",218,4
"homerica",2,0
"homero",3,0
"homerth",1,0
"homicid",5,0
"honain",1,0
"honest",3,2
"honey",4,7
"honeycomb",1,0
"honor",2,0
"honorari",2,0
"honour",135,31
"honourd",38,0
"hoof",4,2
"hope",97,44
"hopeless",1,1
"horac",2,0
"horeb",1,0
"horizon",1,5
"horn",10,11
"hornet",1,0
"horribl",6,1
"horrid",21,4
"horror",40,0
"hors",63,43
"horsehair",6,3
"horseman",2,2
"horsemen",1,2
"hosei",1,0
"hospit",11,27
"host",188,11
"hostil",59,1
"hot",4,8
"hound",14,10
"hour",56,3
"hous",13,416
"household",1,2
"hover",11,3
"hoverd",4,0
"howeer",5,0
"howev",33,97
"howl",6,1
"html",1,0
"httpwwwgutenbergorg",3,1
"httpwwwgutenbergorgdir",1,0
"httpwwwgutenbergorgfundraisingdon",2,0
"httpwwwgutenbergorgfundraisingpglaf",1,0
"httpwwwgutenbergorglicens",2,0
"httpwwwpglaforg",2,0
"huddl",1,3
"hue",1,0
"huge",27,13
"huger",1,0
"human",56,15
"humankind",1,0
"humbl",23,2
"humbler",2,0
"humid",2,0
"humor",1,0
"humour",3,4
"hundr",34,7
"hung",40,19
"hunger",13,1
"hungri",6,2
"hunt",1,7
"hunter",10,0
"huntress",3,1
"huntsman",1,0
"huntsmen",1,2
"hurl",11,5
"hurld",20,0
"hurri",5,14
"hurt",4,7
"husband",12,64
"husbandmen",1,0
"hush",3,5
"hushd",4,0
"hut",1,14
"hutchinson",1,0
"hyacinth",2,2
"hyad",1,0
"hydati",1,0
"hyde",1,0
"hydra",1,0
"hygin",3,0
"hyle",3,0
"hyllus",1,0
"hymen",1,0
"hymn",6,1
"hypenor",2,0
"hyperenor",2,0
"hyperesia",1,1
"hyperia",2,0
"hyperion",1,6
"hypertext",1,1
"hyphanteion",1,0
"hypirochus",1,0
"hypochondria",1,0
"hypothes",2,0
"hypothesi",5,0
"hypsenor",2,0
"hypsipyl",1,0
"hyri",1,0
"hyrmin",1,0
"hyrtacid",1,0
"hyrtacus",1,0
"hyrtius",1,0
"iaera",1,0
"ialmen",2,0
"iambic",1,0
"iamenus",1,0
"iaonian",1,0
"iapetus",1,0
"iasus",1,2
"iberia",1,0
"ibid",3,0
"icarian",1,0
"ichor",2,0
"ida",43,1
"idaean",6,0
"idaeus",7,1
"ide",9,0
"idea",13,9
"idealizednuma",1,0
"identif",1,1
"identifi",4,4
"idl",13,3
"idol",1,0
"idomen",6,0
"idomeneus",28,8
"idreus",1,0
"ifbut",1,0
"ignipot",2,0
"ignobl",9,0
"ignomini",5,0
"ignor",6,1
"iii",12,5
"iles",1,0
"ilia",1,0
"iliad",74,39
"iliadmur",1,0
"ilian",4,0
"ilion",95,0
"ilioneus",3,0
"iliou",1,0
"ilium",1,0
"ill",37,30
"illdetaind",1,0
"illfat",5,4
"illgotten",1,0
"illiad",1,0
"illmatchd",1,0
"illtim",1,0
"illumin",4,1
"illus",1,0
"illustr",78,8
"illustri",13,1
"ilus",9,2
"ilythia",1,0
"imag",28,0
"imageri",1,0
"imagin",22,7
"imaginari",1,0
"imbitt",1,0
"imbrius",2,0
"imbrus",3,0
"imbu",1,0
"imit",9,0
"immeasur",3,1
"immedi",7,18
"immens",10,0
"immers",2,0
"immigr",2,0
"immin",1,0
"immol",3,0
"immort",114,46
"immun",1,0
"immut",1,0
"impart",13,0
"imparti",2,0
"impass",2,0
"impati",27,3
"impel",13,0
"impelld",9,0
"impend",17,0
"impenetr",1,0
"imper",1,0
"imperfect",5,1
"imperi",36,0
"impertin",1,0
"impervi",5,0
"impetu",32,0
"impetuos",2,0
"impious",12,0
"implac",3,0
"impli",4,5
"implicit",1,0
"implor",17,2
"import",24,4
"impos",3,5
"imposs",5,6
"impostor",1,0
"impostur",2,0
"impot",10,1
"impowerd",1,0
"imprec",1,0
"impregn",1,0
"impress",8,2
"impressd",5,0
"impressionsnay",1,0
"imprisond",3,0
"improb",2,0
"improv",5,0
"improvis",1,0
"impud",1,1
"impuls",10,1
"inabl",1,0
"inaccur",1,1
"inact",2,0
"inactivitymur",1,0
"inanim",2,0
"inapt",1,0
"incalcul",1,0
"incap",1,0
"incarn",1,0
"incarnadind",1,0
"incaut",1,0
"incens",18,2
"incensedtoo",1,0
"incess",17,3
"inch",2,3
"incid",4,1
"incident",3,1
"incircl",4,0
"incit",10,0
"inclement",1,0
"inclin",10,4
"inclos",11,0
"inclosur",1,0
"includ",18,14
"inclus",1,0
"incom",1,0
"incomincio",1,0
"incomplet",1,1
"incongru",3,0
"inconsist",5,0
"increas",23,3
"incred",2,0
"inculc",1,0
"incumb",2,1
"incur",2,0
"incurs",1,0
"inde",18,53
"indebt",2,0
"indefatig",2,0
"indefinit",1,0
"indemn",1,1
"indemnifi",1,1
"independ",3,1
"indian",1,1
"indic",5,3
"indign",14,1
"indirect",3,2
"indiscret",1,0
"indispens",2,0
"indissolubl",2,0
"indistinct",3,0
"individu",11,5
"indol",2,0
"induc",5,1
"induct",1,0
"indulg",19,2
"industri",6,0
"inevit",1,0
"inexor",5,0
"inexplic",1,1
"inextric",1,0
"infal",2,0
"infami",4,1
"infanc",1,2
"infant",38,3
"infect",2,0
"infecti",2,0
"infer",2,2
"inferior",9,2
"infern",13,0
"inferno",1,0
"infest",3,0
"infidel",1,0
"infinit",4,5
"infinitud",1,0
"infinitum",1,0
"infix",1,0
"infixd",6,0
"inflam",19,1
"inflex",2,0
"inflict",13,0
"influenc",7,0
"infold",4,0
"inform",18,13
"infrang",1,0
"infring",3,1
"infus",7,1
"ingeni",4,1
"ingenu",4,0
"inglori",33,0
"ingredi",1,0
"inhabit",10,5
"inherit",4,3
"inhum",2,0
"inhuman",3,1
"inimit",1,0
"init",1,1
"injudici",1,0
"injunct",2,0
"injur",14,1
"injuri",6,1
"injustic",4,0
"inlaid",1,6
"inlay",1,1
"inmost",3,0
"inner",3,18
"innoc",5,1
"innoxi",3,0
"innumer",3,0
"ino",1,4
"inquir",7,0
"inquiri",1,0
"inrolld",1,0
"insati",11,2
"inscrib",1,0
"inscript",4,0
"insect",1,0
"insens",1,0
"insert",6,0
"insid",1,55
"insidi",1,0
"insight",2,0
"insignia",1,0
"insignific",2,1
"insist",2,9
"insol",10,26
"insomuch",1,0
"inspir",60,6
"inspirit",2,0
"instanc",8,1
"instant",38,2
"instarrd",1,0
"instead",5,13
"instig",2,0
"instil",1,0
"instinct",3,5
"institut",2,0
"instruct",9,4
"instrument",6,0
"insuffer",1,0
"insult",33,11
"insur",2,0
"integr",4,0
"intellect",1,0
"intellectu",4,2
"intellig",4,2
"intemper",1,0
"intend",4,12
"intens",1,0
"intent",11,4
"inter",3,0
"intercept",5,0
"intercess",1,0
"intercours",2,1
"interdict",2,0
"interest",13,6
"interfer",1,0
"intermedi",1,0
"intermingl",2,0
"intern",5,2
"interpol",7,3
"interpos",4,0
"interposd",1,0
"interposit",1,0
"interpret",9,5
"interrog",1,0
"interrupt",4,2
"interspers",1,0
"interv",5,1
"intervent",2,0
"interview",1,2
"interwoven",1,0
"intim",2,0
"intoler",4,5
"inton",3,0
"intract",2,0
"intreat",1,0
"intrench",2,0
"intrenchd",1,0
"intrepid",5,0
"introd",1,0
"introduc",11,4
"introduct",3,2
"intrud",1,0
"intrus",1,0
"inund",1,0
"inurn",2,0
"invad",28,0
"invalid",1,1
"invas",1,0
"invent",23,1
"inventor",2,0
"invest",5,0
"investig",3,0
"invidi",3,0
"inviol",8,0
"invis",2,0
"invit",16,9
"invok",8,1
"involv",23,1
"invulner",1,0
"inward",7,10
"inwrought",1,0
"iolaus",1,0
"iolcus",1,1
"ionia",1,0
"ionic",1,0
"iphea",1,0
"iphi",1,0
"iphianassa",1,0
"iphiclus",2,0
"iphidama",1,0
"iphigena",1,0
"iphigenia",3,0
"iphmous",1,0
"iphyclus",1,0
"iphyt",1,0
"iphytus",1,0
"ira",1,0
"ire",18,0
"iri",36,1
"iron",29,24
"ironsid",1,0
"irregular",4,0
"irrem",2,0
"irresist",2,0
"irrever",1,0
"irrevoc",3,0
"isan",1,0
"isl",10,2
"island",9,102
"islet",1,1
"iso",1,0
"issu",37,5
"isteian",1,0
"isus",1,0
"itali",2,4
"italian",1,4
"itbut",1,1
"ithaca",5,109
"ithacus",8,1
"ithagen",1,0
"ithom",1,0
"itlonginus",1,0
"itona",1,0
"itselfa",1,0
"itymonaeus",1,0
"ivi",1,0
"ivori",5,7
"ivorystud",2,0
"ixion",1,0
"jackal",2,0
"jacob",1,0
"jalyssus",1,0
"jami",1,0
"janassa",1,0
"janira",1,0
"jar",3,6
"jardan",2,0
"jason",3,1
"javelin",109,4
"javlin",1,0
"jaw",14,2
"jealous",6,3
"jealousi",2,1
"jejun",1,0
"jen",1,0
"jerusalem",1,0
"jest",1,0
"job",1,0
"join",64,16
"joind",33,0
"joint",13,4
"jolli",1,0
"joshua",1,0
"journey",9,13
"jove",429,188
"jovedescend",1,0
"jovelik",1,0
"jovi",2,0
"joy",98,10
"joyous",1,0
"judah",1,0
"judg",21,1
"judgment",21,1
"judici",5,0
"juic",8,0
"juli",1,1
"juliet",1,0
"jump",2,5
"junctur",3,0
"junctura",1,0
"juno",81,6
"junto",1,0
"jupit",56,0
"jus",1,0
"just",97,72
"justest",3,0
"justic",28,0
"justifi",3,0
"justus",1,0
"juvenil",2,0
"kai",7,0
"kallinus",3,0
"kallinusin",1,0
"karnak",1,0
"kataduomeno",1,0
"kateschethaen",1,0
"keel",2,7
"keen",7,4
"keener",3,0
"keep",33,95
"keepst",1,0
"kennedi",1,0
"kenneth",1,0
"kept",18,50
"key",1,2
"kick",1,4
"kickd",1,0
"kid",1,5
"kill",14,159
"killd",8,0
"kind",71,77
"kindest",1,0
"kindl",17,0
"kindr",4,0
"kine",1,0
"king",265,92
"kingdom",2,1
"kinsman",3,1
"kiss",4,17
"kissd",2,0
"knee",39,24
"kneel",1,0
"knew",25,40
"knife",1,0
"knight",15,1
"knit",2,0
"knock",1,6
"knockd",1,0
"knot",2,0
"knotti",1,0
"know",106,159
"knowledg",13,3
"known",45,14
"knowst",5,0
"korythaiolo",1,0
"kumaioi",1,0
"kusdaghi",1,0
"kuster",1,0
"laa",1,0
"labori",5,0
"labour",92,13
"labourd",10,0
"labr",3,0
"lacedaemon",1,12
"lachmann",3,0
"laconiathirlwal",1,0
"ladder",1,0
"ladi",1,4
"laerc",1,0
"laert",4,46
"lag",4,1
"laid",61,65
"lair",1,8
"lake",6,2
"lamb",8,9
"lambkin",1,0
"lame",8,3
"lament",29,12
"lamp",2,1
"lampus",4,1
"lanc",129,1
"lancefam",1,0
"land",81,118
"landor",1,0
"landscap",1,0
"landsmen",1,0
"languag",27,6
"languagecoleridg",1,0
"languid",6,0
"languir",1,0
"languish",2,0
"laodama",1,9
"laodic",6,0
"laodocus",2,0
"laoganus",1,0
"laogonus",1,0
"laomedon",8,0
"laomedontiada",1,0
"laotho",1,0
"lapith",1,0
"lapitha",2,1
"larg",55,32
"larger",9,5
"largest",4,2
"largo",1,0
"larissa",3,0
"larm",1,0
"lash",14,10
"lashd",5,0
"last",159,56
"late",72,13
"latent",3,0
"later",13,12
"latest",5,1
"latin",2,0
"latitud",1,0
"latmo",1,0
"latona",11,0
"latter",14,0
"laugh",4,20
"laughst",1,0
"laughter",3,3
"laughterlov",2,1
"launch",8,0
"launchd",5,0
"laundri",1,0
"laurel",3,1
"lave",5,0
"lavish",1,1
"law",35,19
"lawgiv",3,0
"lawless",10,3
"lawn",5,0
"lawyer",1,0
"lay",136,71
"lazi",1,1
"lead",66,13
"leaden",1,0
"leader",55,4
"leafi",1,0
"leafshak",1,0
"leagu",13,0
"leaguerd",1,0
"lean",7,10
"leand",1,0
"leap",25,2
"leapd",13,0
"learn",41,13
"learnd",6,0
"learnedbut",1,0
"learningnay",1,0
"least",37,5
"leather",1,5
"leathern",2,3
"leav",60,105
"lecto",1,0
"led",103,28
"leech",1,0
"left",100,126
"lefthand",2,0
"leg",8,6
"legal",3,3
"legat",1,0
"legend",7,2
"legg",1,0
"legion",14,0
"legontai",1,0
"legousin",1,0
"leitus",4,0
"leleg",1,0
"lelegia",2,0
"lemnian",4,0
"lemno",9,3
"lemprier",2,0
"lend",15,2
"length",88,6
"lengthen",2,0
"lengthend",4,0
"lenit",1,0
"lent",6,2
"leocritus",1,1
"leonteus",5,0
"leopard",1,1
"lesbia",1,0
"lesbian",3,0
"lesbo",3,3
"leschai",1,0
"less",80,9
"lessen",3,0
"lesser",1,0
"lesson",3,1
"lest",24,13
"let",278,218
"letharg",1,0
"lethus",1,0
"letter",8,0
"leucadia",2,0
"leucus",1,0
"leuk",1,0
"level",16,9
"levelld",8,0
"leveret",1,0
"lexamin",1,0
"lexic",1,0
"lexil",1,0
"lexilog",1,0
"lherba",1,0
"liabil",3,3
"liabl",1,1
"lib",12,0
"libat",15,0
"libero",1,0
"liberti",4,4
"librari",1,2
"licenc",1,0
"licens",16,16
"licenti",1,0
"lick",1,0
"licymnius",1,0
"lid",2,5
"liddel",1,3
"lie",168,94
"liest",1,0
"liet",1,0
"lieu",3,2
"life",115,44
"lifeblood",1,0
"lifeconsum",2,0
"lifeless",1,0
"lift",68,12
"ligatur",1,0
"light",106,42
"lighten",5,0
"lightend",4,0
"lighter",3,2
"lightn",30,4
"like",247,200
"likewis",4,2
"lilaea",1,0
"limb",51,11
"limbd",1,0
"limit",19,8
"limnoria",1,0
"lindus",2,0
"line",89,69
"lineag",3,3
"lineament",1,0
"linen",6,11
"linesin",1,0
"linger",4,1
"link",4,4
"linkd",3,0
"linus",1,0
"lion",44,13
"lioness",2,1
"lip",13,6
"lipsius",1,0
"liquid",16,0
"liscymnius",1,0
"list",8,2
"listen",23,38
"listend",3,0
"listless",1,0
"lit",4,10
"liter",9,3
"literari",20,13
"literatur",9,0
"littl",34,36
"liv",1,0
"live",119,118
"livelihood",1,0
"liver",3,3
"livid",2,0
"load",47,16
"loaden",1,0
"local",1,1
"locat",6,7
"lock",12,1
"lockd",6,0
"locri",1,0
"locrian",6,0
"locust",1,0
"lodg",7,2
"loew",2,0
"lofti",65,3
"logoi",1,0
"logon",1,0
"loiter",1,1
"loll",1,0
"lone",7,1
"long",174,160
"longbeakd",1,0
"longcontend",2,0
"longcontest",2,0
"longdefend",2,0
"longdescend",2,0
"longdestroy",1,0
"longdisput",2,0
"longer",20,41
"longextend",2,0
"longfest",1,0
"longfor",1,0
"longin",1,0
"longinus",2,0
"longliv",1,0
"longproject",1,0
"longprotend",1,0
"longresound",2,0
"longshank",1,0
"longsucceed",1,0
"longwingd",1,0
"look",36,150
"lookd",11,0
"lookedfor",1,0
"looker",1,1
"lookst",1,0
"loom",7,9
"loos",10,18
"looseddyc",1,0
"loosend",2,0
"lop",3,0
"loppd",6,0
"loquaci",1,0
"lord",77,20
"lorenzo",1,0
"lose",11,21
"loser",1,0
"loss",13,8
"lost",114,39
"lot",23,12
"loth",4,3
"loto",2,0
"loud",78,8
"loudapplaud",1,0
"louder",4,0
"loudest",3,0
"loudexult",1,0
"loudinsult",1,0
"loudresound",1,0
"lour",3,0
"love",151,39
"lovedon",4,0
"loveliest",3,1
"lover",4,1
"low",34,13
"lowbend",1,0
"lower",5,4
"lowest",2,0
"lowhung",2,0
"lowli",6,1
"lowsink",1,0
"lowwhisp",1,0
"loyal",1,3
"loyalti",1,0
"lucan",2,0
"lucid",1,0
"luckier",1,0
"luckless",5,0
"lucr",1,0
"lucretius",1,0
"lui",1,0
"lukewarm",1,0
"lull",3,0
"lulld",1,0
